"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","7-Jul",5,1,50780982,"-","-",4348,11679,50780982,1,FALSE
"2","8-Jul",6,1,37045244,"-27%","-",4348,8520,87826226,2,FALSE
"3","9-Jul",7,1,29201277,"-21.20%","-",4348,6716,117027503,3,FALSE
"4","10-Jul",1,1,12201383,"-58.20%","-",4348,2806,129228886,4,FALSE
"5","11-Jul",2,1,15053665,"23.40%","-",4348,3462,144282551,5,FALSE
"6","12-Jul",3,1,9902669,"-34.20%","-",4348,2277,154185220,6,FALSE
"7","13-Jul",4,1,8885094,"-10.30%","-",4348,2043,163070314,7,FALSE
"8","14-Jul",5,2,13628237,"53.40%","-73.20%",4348,3134,176698551,8,FALSE
"9","15-Jul",6,2,17587320,"29.10%","-52.50%",4348,4044,194285871,9,FALSE
"10","16-Jul",7,2,12989653,"-26.10%","-55.50%",4348,2987,207275524,10,FALSE
"11","17-Jul",1,2,5455599,"-58%","-55.30%",4348,1254,212731123,11,FALSE
"12","18-Jul",2,1,7536245,"38.10%","-49.90%",4348,1733,220267368,12,FALSE
"13","19-Jul",3,1,4967279,"-34.10%","-49.80%",4348,1142,225234647,13,FALSE
"14","20-Jul",4,1,4466934,"-10.10%","-49.70%",4348,1027,229701581,14,FALSE
"15","21-Jul",5,4,6367940,"42.60%","-53.30%",4130,1541,236069521,15,FALSE
"16","22-Jul",6,3,8931625,"40.30%","-49.20%",4130,2162,245001146,16,FALSE
"17","23-Jul",7,3,6850520,"-23.30%","-47.30%",4130,1658,251851666,17,FALSE
"18","24-Jul",1,3,3361636,"-50.90%","-38.40%",4130,813,255213302,18,FALSE
"19","25-Jul",2,3,4130653,"22.90%","-45.20%",4130,1000,259343955,19,FALSE
"20","26-Jul",3,3,2787501,"-32.50%","-43.90%",4130,674,262131456,20,FALSE
"21","27-Jul",4,3,2775349,"-0.40%","-37.90%",4130,671,264906805,21,FALSE
"22","28-Jul",5,5,3978954,"43.40%","-37.50%",3625,1097,268885759,22,FALSE
"23","29-Jul",6,5,5475665,"37.60%","-38.70%",3625,1510,274361424,23,FALSE
"24","30-Jul",7,5,3806753,"-30.50%","-44.40%",3625,1050,278168177,24,FALSE
