Date,Event,DOW,Rank,Daily,YD%,LW%,Theaters,Avg,To Date,Day,Estimated
Nov 10,,5,1,21603104,,,4030,5360,21603104,1,False
Nov 11,,6,1,15260052,-29.4,,4030,3786,36863156,2,False
Nov 12,,7,1,9247703,-39.4,,4030,2294,46110859,3,False
Nov 13,,1,1,2372375,-74.3,,4030,588,48483234,4,False
Nov 14,,2,1,3300946,39.1,,4030,819,51784180,5,False
Nov 15,,3,1,1789239,-45.8,,4030,443,53573419,6,False
Nov 16,,4,1,1251387,-30.1,,4030,310,54824806,7,False
Nov 17,,5,4,2756659,120.3,-87.2,4030,684,57581465,8,False
Nov 18,,6,3,4453682,61.6,-70.8,4030,1105,62035147,9,False
Nov 19,,7,3,2910248,-34.7,-68.5,4030,722,64945395,10,False
