"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","4-May",5,1,80813985,"-","-",4349,18582,80813985,1,FALSE
"2","5-May",6,1,69557990,"-13.90%","-",4349,15994,150371975,2,FALSE
"3","6-May",7,1,57066733,"-18%","-",4349,13121,207438708,3,FALSE
"4","7-May",1,1,18898999,"-66.90%","-",4349,4345,226337707,4,FALSE
"5","8-May",2,1,17677190,"-6.50%","-",4349,4064,244014897,5,FALSE
"6","9-May",3,1,13612910,"-23%","-",4349,3130,257627807,6,FALSE
"7","10-May",4,1,12391566,"-9%","-",4349,2849,270019373,7,FALSE
"8","11-May",5,1,29223517,"135.80%","-63.80%",4349,6719,299242890,8,FALSE
"9","12-May",6,1,42905519,"46.80%","-38.30%",4349,9865,342148409,9,FALSE
"10","13-May",7,1,30923238,"-27.90%","-45.80%",4349,7110,373071647,10,FALSE
"11","14-May",1,1,7923789,"-74.40%","-58.10%",4349,1821,380995436,11,FALSE
"12","15-May",2,1,8477854,"7%","-52%",4349,1949,389473290,12,FALSE
"13","16-May",3,1,6339757,"-25.20%","-53.40%",4349,1457,395813047,13,FALSE
"14","17-May",4,1,6208368,"-2.10%","-49.90%",4349,1427,402021415,14,FALSE
"15","18-May",5,1,15236046,"145.40%","-47.90%",4249,3585,417257461,15,FALSE
"16","19-May",6,1,23587069,"54.80%","-45%",4249,5551,440844530,16,FALSE
"17","20-May",7,1,16820987,"-28.70%","-45.60%",4249,3958,457665517,17,FALSE
"18","21-May",1,1,5687934,"-66.20%","-28.20%",4249,1338,463353451,18,FALSE
"19","22-May",2,1,4917764,"-13.50%","-42%",4249,1157,468271215,19,FALSE
"20","23-May",3,1,3968406,"-19.30%","-37.40%",4249,933,472239621,20,FALSE
"21","24-May",4,1,4445167,"12%","-28.40%",4249,1046,476684788,21,FALSE
"22","25-May",5,2,9664323,"117.40%","-36.60%",3918,2466,486349111,22,FALSE
"23","26-May",6,2,14066384,"45.50%","-40.40%",3918,3590,500415495,23,FALSE
"24","27-May",7,2,12956164,"-7.90%","-23%",3918,3306,513371659,24,FALSE
"25","28-May",1,2,10535543,"-18.70%","85.20%",3918,2689,523907202,25,FALSE
"26","29-May",2,2,3266753,"-69%","-33.60%",3918,833,527173955,26,FALSE
"27","30-May",3,2,2515041,"-23%","-36.60%",3918,641,529688996,27,FALSE
"28","31-May",4,2,2774984,"10.30%","-37.60%",3918,708,532463980,28,FALSE
"29","1-Jun",5,3,5641642,"103.30%","-41.60%",3670,1537,538105622,29,FALSE
"30","2-Jun",6,3,9017913,"59.80%","-35.90%",3670,2457,547123535,30,FALSE
"31","3-Jun",7,3,5826863,"-35.40%","-55%",3670,1587,552950398,31,FALSE
"32","4-Jun",1,3,2042375,"-64.90%","-80.60%",3670,556,554992773,32,FALSE
