"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","6-May",5,1,75502161,"-","-",4226,17866,75502161,1,FALSE
"2","7-May",6,1,61209001,"-18.90%","-",4226,14483,136711162,2,FALSE
"3","8-May",7,1,42427980,"-30.70%","-",4226,10039,179139142,3,FALSE
"4","9-May",1,1,13291876,"-68.70%","-",4226,3145,192431018,4,FALSE
"5","10-May",2,1,13761120,"3.50%","-",4226,3256,206192138,5,FALSE
"6","11-May",3,1,8976371,"-34.80%","-",4226,2124,215168509,6,FALSE
"7","12-May",4,1,8160569,"-9.10%","-",4226,1931,223329078,7,FALSE
"8","13-May",5,1,19612028,"140.30%","-74%",4226,4640,242941106,8,FALSE
"9","14-May",6,1,31960342,"63%","-47.80%",4226,7562,274901448,9,FALSE
"10","15-May",7,1,21064772,"-34.10%","-50.40%",4226,4984,295966220,10,FALSE
"11","16-May",1,1,4751083,"-77.40%","-64.30%",4226,1124,300717303,11,FALSE
"12","17-May",2,1,5928602,"24.80%","-56.90%",4226,1402,306645905,12,FALSE
"13","18-May",3,1,3899984,"-34.20%","-56.60%",4226,922,310545889,13,FALSE
"14","19-May",4,1,3730264,"-4.40%","-54.30%",4226,882,314276153,14,FALSE
"15","20-May",5,3,8612395,"130.90%","-56.10%",4226,2037,322888548,15,FALSE
"16","21-May",6,2,14623025,"69.80%","-54.20%",4226,3460,337511573,16,FALSE
"17","22-May",7,2,9704319,"-33.60%","-53.90%",4226,2296,347215892,17,FALSE
"18","23-May",1,1,3020789,"-68.90%","-36.40%",4226,714,350236681,18,FALSE
"19","24-May",2,1,2889710,"-4.30%","-51.30%",4226,683,353126391,19,FALSE
"20","25-May",3,1,2272708,"-21.40%","-41.70%",4226,537,355399099,20,FALSE
"21","26-May",4,1,2076849,"-8.60%","-44.30%",4226,491,357475948,21,FALSE
"22","27-May",5,4,4046772,"94.90%","-53%",3395,1191,361522720,22,FALSE
"23","28-May",6,4,5793941,"43.20%","-60.40%",3395,1706,367316661,23,FALSE
"24","29-May",7,4,5555011,"-4.10%","-42.80%",3395,1636,372871672,24,FALSE
"25","30-May",1,4,4608785,"-17%","52.60%",3395,1357,377480457,25,FALSE
"26","31-May",2,4,1548605,"-66.40%","-46.40%",3395,456,379029062,26,FALSE
"27","1-Jun",3,4,1201806,"-22.40%","-47.10%",3395,353,380230868,27,FALSE
"28","2-Jun",4,4,1118289,"-6.90%","-46.20%",3395,329,381349157,28,FALSE
"29","3-Jun",5,6,2096013,"87.40%","-48.20%",3084,679,383445170,29,FALSE
"30","4-Jun",6,6,3311126,"58%","-42.90%",3084,1073,386756296,30,FALSE
"31","5-Jun",7,6,2422340,"-26.80%","-56.40%",3084,785,389178636,31,FALSE
"32","6-Jun",1,6,837255,"-65.40%","-81.80%",3084,271,390015891,32,FALSE
"33","7-Jun",2,6,995368,"18.90%","-35.70%",3084,322,391011259,33,FALSE
"34","8-Jun",3,6,772948,"-22.30%","-35.70%",3084,250,391784207,34,FALSE
"35","9-Jun",4,6,772941,"<0.1%","-30.90%",3084,250,392557148,35,FALSE
"36","10-Jun",5,9,1169004,"51.20%","-44.20%",2101,556,393726152,36,FALSE
"37","11-Jun",6,9,1884866,"61.20%","-43.10%",2101,897,395611018,37,FALSE
"38","12-Jun",7,9,1260472,"-33.10%","-48%",2101,599,396871490,38,FALSE
"39","13-Jun",1,9,484771,"-61.50%","-42.10%",2101,230,397356261,39,FALSE
"40","14-Jun",2,9,636173,"31.20%","-36.10%",2101,302,397992434,40,FALSE
"41","15-Jun",3,9,548482,"-13.80%","-29%",2101,261,398540916,41,FALSE
"42","16-Jun",4,9,440053,"-19.80%","-43.10%",2101,209,398980969,42,FALSE
"43","17-Jun",5,10,582077,"32.30%","-50.20%",1434,405,399563046,43,FALSE
"44","18-Jun",6,10,855756,"47%","-54.60%",1434,596,400418802,44,FALSE
"45","19-Jun",7,9,893789,"4.40%","-29.10%",1434,623,401312591,45,FALSE
"46","20-Jun",1,10,302031,"-66.20%","-37.70%",1434,210,401614622,46,FALSE
"47","21-Jun",2,11,329956,"9.20%","-48.10%",1434,230,401944578,47,FALSE
"48","22-Jun",3,11,281124,"-14.80%","-48.70%",1434,196,402225702,48,FALSE
"49","23-Jun",4,11,263028,"-6.40%","-40.20%",1434,183,402488730,49,FALSE
"50","24-Jun",5,14,425282,"61.70%","-26.90%",753,564,402914012,50,FALSE
"51","25-Jun",6,13,588276,"38.30%","-31.30%",753,781,403502288,51,FALSE
"52","26-Jun",7,12,355000,"-39.70%","-60.30%",753,471,403857288,52,FALSE
"53","27-Jun",1,13,183666,"-48.30%","-39.20%",753,243,404040954,53,FALSE
"54","28-Jun",2,13,229335,"24.90%","-30.50%",753,304,404270289,54,FALSE
"55","29-Jun",3,13,217363,"-5.20%","-22.70%",753,288,404487652,55,FALSE
"56","30-Jun",4,14,160736,"-26.10%","-38.90%",753,213,404648388,56,FALSE
"57","1-Jul",5,16,215671,"34.20%","-49.30%",367,587,404864059,57,FALSE
"58","2-Jul",6,14,307133,"42.40%","-47.80%",367,836,405171192,58,FALSE
"59","3-Jul",7,15,247775,"-19.30%","-30.20%",367,675,405418967,59,FALSE
"60","4-Jul",1,16,180650,"-27.10%","-1.60%",367,492,405599617,60,FALSE
"61","5-Jul",2,15,131064,"-27.40%","-42.90%",367,357,405730681,61,FALSE
"62","6-Jul",3,16,115631,"-11.80%","-46.80%",367,315,405846312,62,FALSE
"63","7-Jul",4,18,86852,"-24.90%","-46%",367,236,405933164,63,FALSE
"64","8-Jul",5,22,83589,"-3.80%","-61.20%",238,351,406016753,64,FALSE
"65","9-Jul",6,22,125342,"50%","-59.20%",238,526,406142095,65,FALSE
"66","10-Jul",7,21,84286,"-32.80%","-66%",238,354,406226381,66,FALSE
"67","11-Jul",1,22,40987,"-51.40%","-77.30%",238,172,406267368,67,FALSE
"68","12-Jul",2,21,45003,"9.80%","-65.70%",238,189,406312371,68,FALSE
"69","13-Jul",3,23,40041,"-11%","-65.40%",238,168,406352412,69,FALSE
"70","14-Jul",4,21,41782,"4.30%","-51.90%",238,175,406394194,70,FALSE
"71","15-Jul",5,27,51682,"23.70%","-38.20%",184,280,406445876,71,FALSE
"72","16-Jul",6,27,73531,"42.30%","-41.30%",184,399,406519407,72,FALSE
"73","17-Jul",7,26,54276,"-26.20%","-35.60%",184,294,406573683,73,FALSE
"74","18-Jul",1,25,28135,"-48.20%","-31.40%",184,152,406601818,74,FALSE
"75","19-Jul",2,26,30311,"7.70%","-32.60%",184,164,406632129,75,FALSE
"76","20-Jul",3,25,28503,"-6%","-28.80%",184,154,406660632,76,FALSE
"77","21-Jul",4,27,25713,"-9.80%","-38.50%",184,139,406686345,77,FALSE
"78","22-Jul",5,30,30426,"18.30%","-41.10%",116,262,406716771,78,FALSE
"79","23-Jul",6,31,42236,"38.80%","-42.60%",116,364,406759007,79,FALSE
"80","24-Jul",7,30,31021,"-26.60%","-42.80%",116,267,406790028,80,FALSE
"81","25-Jul",1,26,18022,"-41.90%","-35.90%",116,155,406808050,81,FALSE
"82","26-Jul",2,31,14819,"-17.80%","-51.10%",116,127,406822869,82,FALSE
"83","27-Jul",3,26,18186,"22.70%","-36.20%",116,156,406841055,83,FALSE
"84","28-Jul",4,25,24168,"32.90%","-6%",116,208,406865223,84,FALSE
"85","29-Jul",5,33,22983,"-4.90%","-24.50%",85,270,406888206,85,FALSE
"86","30-Jul",6,31,28018,"21.90%","-33.70%",85,329,406916224,86,FALSE
"87","31-Jul",7,32,22608,"-19.30%","-27.10%",85,265,406938832,87,FALSE
"88","1-Aug",1,31,13157,"-41.80%","-27%",85,154,406951989,88,FALSE
"89","2-Aug",2,31,13013,"-1.10%","-12.20%",85,153,406965002,89,FALSE
"90","3-Aug",3,30,14568,"11.90%","-19.90%",85,171,406979570,90,FALSE
"91","4-Aug",4,33,10526,"-27.70%","-56.40%",85,123,406990096,91,FALSE
"92","5-Aug",5,24,57308,"444.40%","149.30%",174,329,407047404,92,FALSE
"93","6-Aug",6,23,83853,"46.30%","199.30%",174,481,407131257,93,FALSE
"94","7-Aug",7,23,66025,"-21.30%","192%",174,379,407197282,94,FALSE
"95","8-Aug",1,23,31668,"-52%","140.70%",174,182,407228950,95,FALSE
"96","9-Aug",2,23,35795,"13%","175.10%",174,205,407264745,96,FALSE
"97","10-Aug",3,23,34535,"-3.50%","137.10%",174,198,407299280,97,FALSE
"98","11-Aug",4,23,29503,"-14.60%","180.30%",174,169,407328783,98,FALSE
"99","12-Aug",5,27,52167,"76.80%","-9%",162,322,407380950,99,FALSE
