"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","17-Jul",5,1,22649199,"-","-",3856,5873,22649199,1,FALSE
"2","18-Jul",6,2,19464976,"-14.10%","-",3856,5047,42114175,2,FALSE
"3","19-Jul",7,1,15111351,"-22.40%","-",3856,3918,57225526,3,FALSE
"4","20-Jul",1,1,6403901,"-57.60%","-",3856,1660,63629427,4,FALSE
"5","21-Jul",2,2,7853189,"22.60%","-",3856,2036,71482616,5,FALSE
"6","22-Jul",3,2,5120474,"-34.80%","-",3856,1327,76603090,6,FALSE
"7","23-Jul",4,2,4707439,"-8.10%","-",3856,1220,81310529,7,FALSE
"8","24-Jul",5,2,7252683,"54.10%","-68%",3868,1875,88563212,8,FALSE
"9","25-Jul",6,1,9853066,"35.90%","-49.40%",3868,2547,98416278,9,FALSE
"10","26-Jul",7,1,7803583,"-20.80%","-48.40%",3868,2017,106219861,10,FALSE
"11","27-Jul",1,1,3322992,"-57.40%","-48.10%",3868,859,109542853,11,FALSE
"12","28-Jul",2,1,4265463,"28.40%","-45.70%",3868,1102,113808316,12,FALSE
"13","29-Jul",3,2,3005710,"-29.50%","-41.30%",3868,777,116814026,13,FALSE
"14","30-Jul",4,2,2714893,"-9.70%","-42.30%",3868,701,119528919,14,FALSE
"15","31-Jul",5,3,3680194,"35.60%","-49.30%",3322,1107,123209113,15,FALSE
"16","1-Aug",6,3,5112373,"38.90%","-48.10%",3322,1538,128321486,16,FALSE
"17","2-Aug",7,3,4010077,"-21.60%","-48.60%",3322,1207,132331563,17,FALSE
"18","3-Aug",1,3,1887811,"-52.90%","-43.20%",3322,568,134219374,18,FALSE
"19","4-Aug",2,3,2237124,"18.50%","-47.60%",3322,673,136456498,19,FALSE
"20","5-Aug",3,4,1648774,"-26.30%","-45.10%",3322,496,138105272,20,FALSE
"21","6-Aug",4,3,1505274,"-8.70%","-44.60%",3322,453,139610546,21,FALSE
"22","7-Aug",5,5,2279459,"51.40%","-38.10%",2910,783,141890005,22,FALSE
"23","8-Aug",6,5,3258855,"43%","-36.30%",2910,1119,145148860,23,FALSE
"24","9-Aug",7,5,2373131,"-27.20%","-40.80%",2910,815,147521991,24,FALSE
"25","10-Aug",1,6,1092833,"-53.90%","-42.10%",2910,375,148614824,25,FALSE
"26","11-Aug",2,5,1519440,"39%","-32.10%",2910,522,150134264,26,FALSE
"27","12-Aug",3,5,990758,"-34.80%","-39.90%",2910,340,151125022,27,FALSE
"28","13-Aug",4,5,925231,"-6.60%","-38.50%",2910,317,152050253,28,FALSE
"29","14-Aug",5,6,1538035,"66.20%","-32.50%",2306,666,153588288,29,FALSE
"30","15-Aug",6,6,2290327,"48.90%","-29.70%",2306,993,155878615,30,FALSE
"31","16-Aug",7,6,1665055,"-27.30%","-29.80%",2306,722,157543670,31,FALSE
"32","17-Aug",1,7,686205,"-58.80%","-37.20%",2306,297,158229875,32,FALSE
"33","18-Aug",2,7,919545,"34%","-39.50%",2306,398,159149420,33,FALSE
"34","19-Aug",3,7,660581,"-28.20%","-33.30%",2306,286,159810001,34,FALSE
"35","20-Aug",4,7,626369,"-5.20%","-32.30%",2306,271,160436370,35,FALSE
"36","21-Aug",5,8,1164309,"85.90%","-24.30%",2016,577,161600679,36,FALSE
"37","22-Aug",6,8,1741268,"49.60%","-24%",2016,863,163341947,37,FALSE
"38","23-Aug",7,9,1149888,"-34%","-30.90%",2016,570,164491835,38,FALSE
"39","24-Aug",1,9,391081,"-66%","-43%",2016,193,164882916,39,FALSE
"40","25-Aug",2,9,523960,"34%","-43%",2016,259,165406876,40,FALSE
"41","26-Aug",3,11,361943,"-30.90%","-45.20%",2016,179,165768819,41,FALSE
"42","27-Aug",4,9,363707,"0.50%","-41.90%",2016,180,166132526,42,FALSE
"43","28-Aug",5,11,780275,"114.50%","-33%",1690,461,166912801,43,FALSE
"44","29-Aug",6,8,1413433,"81.10%","-18.80%",1690,836,168326234,44,FALSE
"45","30-Aug",7,8,879408,"-37.80%","-23.50%",1690,520,169205642,45,FALSE
"46","31-Aug",1,12,279286,"-68.20%","-28.60%",1690,165,169484928,46,FALSE
"47","1-Sep",2,10,327557,"17.30%","-37.50%",1690,193,169812485,47,FALSE
"48","2-Sep",3,13,241374,"-26.30%","-33.30%",1690,142,170053859,48,FALSE
"49","3-Sep",4,11,248841,"3.10%","-31.60%",1690,147,170302700,49,FALSE
"50","4-Sep",5,12,633593,"154.60%","-18.80%",1527,414,170936293,50,FALSE
"51","5-Sep",6,12,1111245,"75.40%","-21.40%",1527,727,172047538,51,FALSE
"52","6-Sep",7,12,1120720,"0.90%","27.40%",1527,733,173168258,52,FALSE
"53","7-Sep",1,11,903395,"-19.40%","223.50%",1527,591,174071653,53,FALSE
"54","8-Sep",2,11,189392,"-79%","-42.20%",1527,124,174261045,54,FALSE
"55","9-Sep",3,12,136695,"-27.80%","-43.40%",1527,89,174397740,55,FALSE
"56","10-Sep",4,12,129381,"-5.40%","-48%",1527,84,174527121,56,FALSE
"57","11-Sep",5,12,402323,"211%","-36.50%",1354,297,174929444,57,FALSE
"58","12-Sep",6,10,811713,"101.80%","-27%",1354,599,175741157,58,FALSE
"59","13-Sep",7,14,443881,"-45.30%","-60.40%",1354,327,176185038,59,FALSE
"60","14-Sep",1,11,127061,"-71.40%","-85.90%",1354,93,176312099,60,FALSE
"61","15-Sep",2,13,139389,"9.70%","-26.40%",1354,102,176451488,61,FALSE
"62","16-Sep",3,12,107606,"-22.80%","-21.30%",1354,79,176559094,62,FALSE
"63","17-Sep",4,11,91752,"-14.70%","-29.10%",1354,67,176650846,63,FALSE
"64","18-Sep",5,13,227937,"148.40%","-43.30%",977,233,176878783,64,FALSE
"65","19-Sep",6,14,448536,"96.80%","-44.70%",977,459,177327319,65,FALSE
"66","20-Sep",7,16,246512,"-45%","-44.50%",977,252,177573831,66,FALSE
"67","21-Sep",1,16,65166,"-73.60%","-48.70%",977,66,177638997,67,FALSE
"68","22-Sep",2,16,86008,"32%","-38.30%",977,88,177725005,68,FALSE
"69","23-Sep",3,13,87864,"2.20%","-18.30%",977,89,177812869,69,FALSE
"70","24-Sep",4,17,66387,"-24.40%","-27.60%",977,67,177879256,70,FALSE
"71","25-Sep",5,20,96557,"45.40%","-57.60%",477,202,177975813,71,FALSE
"72","26-Sep",6,21,169243,"75.30%","-62.30%",477,354,178145056,72,FALSE
"73","27-Sep",7,21,87203,"-48.50%","-64.60%",477,182,178232259,73,FALSE
"74","28-Sep",1,18,30551,"-65%","-53.10%",477,64,178262810,74,FALSE
"75","29-Sep",2,18,35885,"17.50%","-58.30%",477,75,178298695,75,FALSE
"76","30-Sep",3,21,29646,"-17.40%","-66.30%",477,62,178328341,76,FALSE
"77","1-Oct",4,20,24737,"-16.60%","-62.70%",477,51,178353078,77,FALSE
