"","Date","DOW","Rank","Daily","X...YD","X...LW","Theaters","Avg","To.Date","Day","Estimated"
"1","5-Nov",5,1,30844219,"-","-",4090,7541,"$30,844,219 ",1,FALSE
"2","6-Nov",6,1,24124504,"-21.80%","-",4090,5898,"$54,968,723 ",2,FALSE
"3","7-Nov",7,1,16328496,"-32.30%","-",4090,3992,"$71,297,219 ",3,FALSE
"4","8-Nov",1,1,4262085,"-73.90%","-",4090,1042,"$75,559,304 ",4,FALSE
"5","9-Nov",2,1,5250371,"23.20%","-",4090,1283,"$80,809,675 ",5,FALSE
"6","10-Nov",3,1,4211822,"-19.80%","-",4090,1029,"$85,021,497 ",6,FALSE
"7","11-Nov",4,1,6243758,"48.20%","-",4090,1526,"$91,265,255 ",7,FALSE
"8","12-Nov",5,1,7839828,"25.60%","-74.60%",4090,1916,"$99,105,083 ",8,FALSE
"9","13-Nov",6,1,11868839,"51.40%","-50.80%",4090,2901,"$110,973,922 ",9,FALSE
"10","14-Nov",7,1,7141461,"-39.80%","-56.30%",4090,1746,"$118,115,383 ",10,FALSE
"11","15-Nov",1,1,1701899,"-76.20%","-60.10%",4090,416,"$119,817,282 ",11,FALSE
"12","16-Nov",2,1,2181960,"28.20%","-58.40%",4090,533,"$121,999,242 ",12,FALSE
"13","17-Nov",3,1,1614457,"-26%","-61.70%",4090,394,"$123,613,699 ",13,FALSE
"14","18-Nov",4,1,1378464,"-14.60%","-77.90%",4090,337,"$124,992,163 ",14,FALSE
"15","19-Nov",5,2,3035681,"120.20%","-61.30%",4055,748,"$128,027,844 ",15,FALSE
"16","20-Nov",6,2,4793785,"57.90%","-59.60%",4055,1182,"$132,821,629 ",16,FALSE
"17","21-Nov",7,2,3255389,"-32.10%","-54.40%",4055,802,"$136,077,018 ",17,FALSE
"18","22-Nov",1,2,1471368,"-54.80%","-13.50%",4055,362,"$137,548,386 ",18,FALSE
"19","23-Nov",2,2,1693423,"15.10%","-22.40%",4055,417,"$139,241,809 ",19,FALSE
